customer_id,annual_income_k,spending_score,age,visits_per_month
1,56.8,41.7,31,10
2,12.7,14.1,47,0
3,84.6,11.3,33,2
4,53.3,38.7,42,4
5,94.1,24.5,31,5
6,20.4,96.6,28,5
7,84.8,13.7,39,0
8,43.0,71.5,37,7
9,16.5,85.7,18,5
10,102.4,42.0,44,3
11,92.7,8.1,47,6
12,60.9,51.9,37,7
13,102.9,9.1,41,0
14,21.1,89.0,29,10
15,97.4,15.8,52,0
16,30.8,66.6,33,6
17,23.4,66.7,30,9
18,12.1,6.5,54,0
19,21.2,77.2,18,7
20,30.9,82.0,22,6
21,28.7,20.3,56,5
22,39.0,75.6,28,6
23,81.6,20.9,43,2
24,24.8,30.4,52,0
25,17.4,17.6,57,5
26,16.0,81.0,21,3
27,84.4,23.4,48,3
28,80.8,13.8,47,5
29,53.0,51.6,38,9
30,86.7,21.1,38,4
31,14.0,21.2,50,4
32,64.5,70.9,38,8
33,24.1,23.0,48,3
34,20.7,62.7,29,2
35,94.1,39.8,43,1
36,59.6,59.4,36,8
37,67.8,46.5,34,8
38,15.2,23.6,56,0
39,77.6,32.0,46,0
40,60.8,62.6,48,9
41,55.3,56.2,27,7
42,59.3,69.9,32,11
43,20.4,28.4,47,2
44,92.1,23.7,47,2
45,104.4,41.0,41,4
46,22.5,87.1,23,5
47,30.9,88.1,30,6
48,87.0,11.2,53,3
49,28.1,22.2,47,1
50,23.6,74.3,32,4
51,17.8,16.3,41,1
52,97.5,27.8,53,0
53,21.1,69.7,25,8
54,30.5,13.5,52,0
55,79.6,26.4,33,2
56,49.2,29.9,35,10
57,90.6,21.2,51,0
58,26.1,19.4,36,2
59,31.4,6.7,38,1
60,56.0,71.3,43,6
61,33.8,76.2,22,6
62,8.6,36.4,51,4
63,2.3,15.7,52,0
64,12.1,6.3,48,1
65,22.0,22.5,49,4
66,45.8,50.1,29,7
67,22.0,64.2,21,5
68,33.8,43.1,35,9
69,61.9,43.0,39,6
70,52.6,46.3,41,8
71,19.9,14.1,48,0
72,85.8,24.7,41,1
73,49.0,41.3,33,8
74,83.0,39.9,47,1
75,24.8,80.3,20,10
76,25.3,23.2,43,0
77,10.9,11.5,57,0
78,20.2,27.5,53,2
79,91.1,13.6,45,0
80,25.6,59.2,27,5
81,19.5,79.0,24,4
82,55.4,45.0,32,9
83,23.5,90.6,18,6
84,52.6,56.7,43,7
85,86.1,11.4,44,1
86,3.6,19.3,42,0
87,28.4,75.9,21,8
88,3.8,59.5,27,10
89,5.4,13.2,50,6
90,95.2,28.6,39,4
91,96.4,17.9,54,3
92,21.8,18.3,43,0
93,80.6,8.0,49,1
94,22.4,72.6,31,10
95,53.1,57.5,30,1
96,84.3,10.6,45,2
97,30.2,4.6,54,0
98,23.4,16.6,53,2
99,89.5,24.5,49,2
100,27.5,73.3,21,2
101,14.6,63.1,19,6
102,94.0,23.9,34,5
103,11.2,19.7,57,0
104,91.0,40.3,49,2
105,17.9,64.4,29,7
106,47.3,44.9,33,9
107,4.8,25.2,49,1
108,19.9,67.1,18,8
109,37.4,73.6,19,9
110,47.8,61.0,45,6
111,69.9,60.6,39,8
112,97.4,36.6,46,4
113,86.0,26.9,44,5
114,57.0,45.0,42,5
115,87.0,12.0,45,1
116,37.6,85.9,30,6
117,16.8,28.9,56,2
118,22.9,17.7,48,4
119,16.1,31.2,54,2
120,56.4,52.0,34,9
121,40.2,53.1,27,11
122,3.4,44.2,56,0
123,92.7,26.9,54,3
124,54.2,71.0,28,6
125,22.7,78.0,28,6
126,30.5,76.2,30,6
127,25.7,70.7,30,6
128,24.9,88.0,33,6
129,8.9,36.3,51,1
130,97.5,9.2,47,0
131,57.2,68.0,20,8
132,18.3,3.4,50,2
133,30.0,78.9,25,7
134,47.7,58.1,26,7
135,48.7,43.5,35,10
136,58.4,36.2,43,9
137,29.5,58.2,36,7
138,68.0,64.3,40,11
139,55.5,53.3,27,9
140,53.6,56.6,41,9
