area_sqft,bedrooms,age_years,distance_to_city_km,price
671.0,4,34.0,4.7,130309.0
1512.0,1,19.0,17.7,196170.0
3023.0,1,28.0,10.3,351774.0
576.0,4,4.0,12.7,165852.0
1221.0,5,15.0,22.3,185089.0
678.0,3,38.0,2.0,99018.0
1558.0,4,30.0,17.4,225756.0
2824.0,5,8.0,27.6,381769.0
1578.0,5,9.0,18.0,252170.0
2543.0,4,24.0,10.7,354411.0
743.0,3,5.0,20.4,103536.0
3536.0,3,2.0,15.3,479138.0
966.0,3,8.0,5.0,166586.0
1123.0,1,4.0,9.7,155234.0
2236.0,2,10.0,17.8,302669.0
3523.0,3,34.0,29.3,411879.0
3156.0,3,31.0,23.0,361024.0
3897.0,4,31.0,21.9,492214.0
3158.0,3,9.0,11.4,412217.0
1845.0,5,5.0,28.9,245660.0
1931.0,5,39.0,5.2,281831.0
2997.0,2,8.0,12.3,377611.0
1447.0,3,26.0,6.2,218541.0
3489.0,3,21.0,29.3,421496.0
3696.0,2,34.0,24.4,441591.0
3163.0,5,37.0,4.2,433479.0
2308.0,4,25.0,26.2,307617.0
1087.0,4,40.0,13.2,180404.0
1545.0,4,5.0,2.2,248094.0
1494.0,4,36.0,19.2,217330.0
1645.0,3,35.0,24.2,204741.0
2110.0,4,9.0,18.1,294608.0
2405.0,1,12.0,6.9,347001.0
1261.0,3,14.0,10.3,189663.0
3300.0,5,0.0,1.8,491614.0
3043.0,4,29.0,17.3,382461.0
3473.0,2,10.0,20.7,449301.0
1436.0,3,37.0,9.9,207167.0
2652.0,1,17.0,25.5,328510.0
2785.0,3,21.0,4.5,363330.0
1854.0,3,4.0,9.1,267954.0
1936.0,1,13.0,2.8,266706.0
3336.0,4,8.0,2.8,452149.0
2601.0,4,29.0,13.7,338053.0
3644.0,5,20.0,13.2,477891.0
2215.0,2,15.0,22.9,294724.0
3399.0,4,34.0,16.4,441113.0
3506.0,3,20.0,12.3,456730.0
3260.0,3,15.0,21.5,425524.0
3607.0,3,10.0,6.0,481825.0
2946.0,1,30.0,13.4,334992.0
2090.0,4,13.0,24.4,296459.0
1571.0,2,39.0,25.1,204776.0
3370.0,2,3.0,12.5,445158.0
989.0,3,16.0,20.6,161501.0
1905.0,5,25.0,0.6,286524.0
1309.0,1,23.0,10.8,170466.0
2567.0,2,36.0,2.3,364679.0
3602.0,2,37.0,15.8,439717.0
1647.0,3,30.0,27.7,188636.0
3316.0,2,23.0,24.8,428018.0
3291.0,4,14.0,13.5,439777.0
2830.0,4,26.0,1.8,396119.0
1354.0,4,28.0,27.8,207441.0
3368.0,5,17.0,4.6,481492.0
2137.0,4,36.0,16.1,295494.0
3087.0,2,15.0,29.6,383535.0
2112.0,2,17.0,20.6,269055.0
3524.0,1,37.0,20.1,421077.0
2958.0,3,1.0,5.3,432202.0
1088.0,4,24.0,7.3,187724.0
1127.0,4,30.0,6.5,183107.0
3475.0,2,18.0,4.0,481212.0
1778.0,2,21.0,19.9,230064.0
1834.0,1,17.0,5.5,230588.0
644.0,3,8.0,7.6,113873.0
2720.0,3,31.0,29.3,330676.0
3315.0,2,1.0,9.9,458426.0
3641.0,1,21.0,10.0,460407.0
1182.0,4,22.0,13.9,172641.0
3501.0,4,36.0,27.7,436293.0
1119.0,1,39.0,10.7,113050.0
1807.0,2,2.0,27.9,242562.0
1838.0,3,9.0,27.0,241731.0
2497.0,4,3.0,12.5,340655.0
2289.0,2,27.0,8.9,294937.0
2352.0,1,19.0,11.3,287533.0
2331.0,3,20.0,9.8,325096.0
3762.0,5,22.0,19.4,489228.0
1363.0,5,24.0,28.1,211895.0
1229.0,4,36.0,13.5,157475.0
3356.0,3,28.0,5.6,443898.0
1564.0,1,17.0,27.6,200472.0
2864.0,1,8.0,12.0,366495.0
3733.0,1,18.0,22.5,452738.0
745.0,2,3.0,17.3,128693.0
3236.0,5,23.0,19.7,417763.0
623.0,5,24.0,27.6,112341.0
2282.0,5,40.0,13.5,293399.0
2036.0,4,21.0,1.0,303250.0
