years_experience,salary
1.1,35356.0
11.7,83660.0
6.6,59170.0
10.9,77812.0
14.7,90410.0
8.1,68456.0
7.5,63371.0
1.1,39722.0
4.0,46525.0
7.5,56125.0
10.2,75502.0
12.1,91248.0
5.7,54116.0
1.0,30941.0
4.3,44576.0
13.6,87000.0
3.2,43199.0
6.8,55880.0
14.0,98991.0
0.4,30669.0
9.0,70935.0
14.3,100103.0
3.5,51763.0
8.2,66049.0
13.6,92528.0
2.0,41940.0
7.9,64779.0
11.3,73738.0
10.0,77619.0
7.0,65077.0
3.1,45612.0
7.4,59606.0
5.6,54416.0
7.2,60037.0
5.5,53551.0
12.6,91888.0
11.5,87868.0
4.7,53828.0
8.6,70895.0
4.1,51157.0
6.8,60551.0
5.3,53547.0
9.9,71855.0
5.6,54977.0
6.9,70090.0
10.8,82076.0
6.2,56532.0
13.6,89312.0
2.7,38692.0
11.1,81447.0
6.3,59916.0
6.4,53028.0
9.5,74695.0
7.8,62822.0
6.2,63607.0
0.0,30627.0
1.4,43171.0
10.6,75867.0
7.9,64398.0
10.4,77999.0
