x_coord,y_coord
2.87,7.62
1.62,1.89
1.43,1.11
2.59,8.73
1.48,8.7
7.2,8.44
7.86,7.93
2.16,8.0
2.3,7.14
1.67,7.95
6.77,7.54
1.93,1.26
1.63,7.25
8.55,7.63
1.64,7.09
2.71,1.71
1.96,2.9
1.78,1.36
1.88,7.44
2.2,8.3
0.76,2.02
8.13,7.38
7.08,8.79
9.2,7.54
1.72,0.06
3.37,0.61
8.22,7.34
2.19,2.9
2.71,2.52
7.25,8.65
8.61,8.13
8.58,7.52
7.82,7.14
7.39,7.48
1.56,1.3
1.87,0.51
8.14,7.9
8.14,8.61
1.37,8.6
3.34,8.05
2.19,7.98
5.38,7.25
1.68,6.96
2.3,8.75
9.05,8.44
2.79,0.2
2.06,7.55
1.55,7.9
2.51,6.86
1.38,1.52
2.09,7.7
0.83,8.26
9.25,8.28
8.94,7.47
2.6,8.99
7.04,7.23
6.74,8.58
1.68,1.53
9.6,8.34
9.59,8.51
1.9,7.9
1.5,1.18
1.47,7.15
7.13,9.21
2.34,8.44
1.82,0.47
8.21,7.83
2.35,3.58
1.53,7.4
0.78,8.04
2.08,1.0
1.95,7.49
3.19,2.89
2.5,2.68
2.04,1.52
9.75,9.94
8.44,9.11
1.05,2.81
8.39,7.73
1.5,7.91
0.95,0.7
8.81,6.84
2.39,9.87
1.12,1.79
1.84,2.68
3.43,2.6
2.57,7.82
7.98,8.77
0.51,1.5
1.18,3.19
