hours_studied,attendance_percent,passed
3.7,41.9,0
9.5,78.2,1
7.3,58.9,1
6.0,70.5,0
1.6,94.5,1
1.6,55.0,0
0.6,64.6,0
8.7,85.3,1
6.0,53.7,0
7.1,44.6,1
0.2,57.4,0
9.7,49.7,1
8.3,95.8,1
2.1,88.5,0
1.8,78.0,0
1.8,92.3,1
3.0,88.2,0
5.2,51.2,0
4.3,93.6,0
2.9,72.4,0
6.1,88.4,1
1.4,93.8,0
2.9,59.1,0
3.7,46.6,0
4.6,53.7,0
7.9,65.6,1
2.0,89.1,0
5.1,91.6,1
5.9,40.4,0
0.5,70.6,0
6.1,65.0,0
1.7,53.3,0
0.7,47.2,0
9.5,60.3,1
9.7,96.6,1
8.1,59.4,1
3.0,71.1,0
1.0,82.2,0
6.8,61.8,1
4.4,98.3,1
1.2,97.7,0
5.0,55.1,0
0.3,69.8,0
9.1,58.1,1
2.6,57.1,0
6.6,42.2,0
3.1,76.6,0
5.2,70.2,0
5.5,43.1,0
1.8,56.7,0
9.7,94.5,1
7.8,54.4,1
9.4,48.7,1
8.9,69.4,1
6.0,99.1,1
9.2,54.5,1
0.9,80.3,0
2.0,85.7,1
0.5,54.3,0
3.3,83.7,1
3.9,62.1,0
2.7,77.9,0
8.3,78.0,1
3.6,72.1,1
2.8,45.4,0
5.4,90.1,1
1.4,59.2,0
8.0,51.2,1
0.7,42.4,0
9.9,75.5,1
7.7,80.7,1
2.0,41.0,0
0.1,70.7,0
8.2,53.6,1
7.1,78.7,1
7.3,50.5,0
7.7,81.5,1
0.7,63.2,0
3.6,96.2,0
1.2,48.3,0
8.6,60.5,1
6.2,46.8,0
3.3,95.5,1
0.6,92.6,0
3.1,55.5,0
3.3,79.6,0
7.3,89.0,1
6.4,73.3,1
8.9,71.8,1
4.7,54.5,0
1.2,45.6,0
7.1,93.8,1
7.6,94.0,1
5.6,78.0,1
7.7,60.3,1
4.9,61.0,0
5.2,83.6,1
4.3,93.8,1
0.3,93.2,0
1.1,86.8,0
